,P,I,D,Throttle,Gear,Brakes,Deformation
0,0.5,0.09003687014584041,10.0,1.0,2.0,0,0.5
1,0.5,0.09003687014584041,10.0,1.0,2.0,0,0.5
2,0.5000000000000001,0.06735924883303042,10.0,1.0,1.0,0,0.5
3,0.5000000000000001,0.041111229050718755,10.0,1.0,2.0,0,0.5
4,0.5,0.040036870145840404,10.0,1.0,2.0,0,0.5
5,0.5,0.05,10.0,1.0,2.0,0,0.5
6,0.5,0.0400368701458404,10.0,1.0,2.0,0,0.5
7,0.5000000000000001,0.020555614525359388,10.0,1.0,2.0,0,0.5
8,0.5,0.004999999999999982,10.0,1.0,1.0,0,0.5
9,0.5,0.004999999999999977,10.0,1.0,0.0,0,0.5
10,0.5,0.005000000000000011,10.0,1.0,0.0,0,0.5
11,0.5,0.004999999999999984,10.0,1.0,1.0,0,0.5
12,0.5,0.0049999999999999906,10.0,1.0,2.0,0,0.5
13,0.5,0.011766764161830636,10.0,1.0,3.0,0,0.5
14,0.5,0.025555614525359364,10.0,1.0,2.0,0,0.5
15,0.5,0.045036870145840374,10.0,1.0,1.0,0,0.5
16,0.5,0.05499999999999999,10.0,1.0,1.0,0,0.5
17,0.5,0.04503687014584043,10.0,1.0,1.0,0,0.5
18,0.5,0.025555614525359406,10.0,1.0,1.0,0,0.5
19,0.5,0.005000000000000093,10.0,1.0,1.0,0,0.5
20,0.5,0.005000000000000093,10.0,1.0,1.0,0,0.5
21,0.5,0.005000000000000093,10.0,1.0,1.0,0,0.5
22,0.5,0.005000000000000032,10.0,1.0,0.0,0,0.5
23,0.5,0.005000000000000072,10.0,1.0000000000000002,0.0,0,0.5
24,0.5,0.004999999999999989,10.0,1.0,0.0,0,0.5
25,0.5,0.0067667641618306875,10.0,1.0000000000000002,0.0,0,0.5
26,0.5,0.02732237868718998,10.0,1.0,0.0,0,0.5
27,0.5,0.06059248467119991,10.0,1.0,0.0,0,0.5
28,0.5,0.09003687014584043,10.0,1.0,0.0,0,0.5
29,0.5,0.09003687014584044,10.0,1.0,0.0,0,0.5
30,0.5,0.06059248467119981,10.0,1.0,0.0,0,0.5
31,0.5,0.09680363430767108,10.0,1.0,0.0,0,0.5
32,0.5,0.15739611897887085,10.0,1.0,0.0,0,0.5
33,0.5,0.17795173350423021,10.0,1.0,0.0,0,0.5
34,0.5,0.17795173350423021,10.0,1.0,0.0,0,0.7
35,0.5,0.17795173350423021,10.0,1.0,0.0,0,0.7
36,0.5,0.17795173350423021,10.0,1.0,0.0,0,0.7
37,0.5,0.17795173350423021,10.0,1.0,0.0,0,0.7
38,0.5,0.17118496934239957,10.0,1.0,0.0,0,0.7
39,0.5,0.1506293548170402,10.0,1.0,0.0,0,0.7
40,0.5,0.11059248467119981,10.0,1.0,0.0,0,0.7
41,0.5,0.0605924846711998,10.0,1.0,0.0,0,0.7
42,0.5,0.02055561452535938,10.0,1.0,0.0,0,0.7
43,0.5,0.0049999999999999975,10.0,1.0,1.0,0,0.7
44,0.5,0.0049999999999999975,10.0,1.0,1.0,0,0.7
45,0.5,0.0049999999999999975,10.0,1.0,1.0,0,0.7
46,0.5,0.0049999999999999975,10.0,1.0,2.0,0,0.5
47,0.5,0.0049999999999999975,10.0,1.0,1.0,0,0.5
48,0.5,0.0049999999999999975,10.0,1.0,1.0,0,0.5
